sample	cluster	ST	Species	Dataset	Host	Source	year
SRR7820172	23	10	Escherichia coli	Contextual	Bovine	Context	2018
SB279408564	18	117	Escherichia coli	SB27	Chicken	Animal	2019
SB278790850	22	59	Escherichia coli	SB27	Human	Human	2018
SB279408353	29	345	Escherichia coli	SB27	Turkey	Animal	2019
SB278791726	3	12	Escherichia coli	SB27	Human	Human	2017
SRR13209813	29	33	Escherichia coli	Contextual	Human	Context	2017
SRR7230146	20	58	Escherichia coli	Contextual	Bovine	Context	2017
SB279408731	24	5359	Escherichia coli	SB27	Pork	Animal	2020
SRR11094161	13	963	Escherichia coli	Contextual	Human	Context	2018
SB2710441706	12	3580	Escherichia coli	SB27	Turkey	Animal	2019
SB278790323	2	127	Escherichia coli	SB27	Human	Human	2018
SB279408744	27	1139	Escherichia coli	SB27	Turkey	Animal	2020
SB278790404	2	127	Escherichia coli	SB27	Human	Human	2017
SRR14138262	22	648	Escherichia coli	Contextual	Canine	Context	2017
SRR8632526	28	372	Escherichia coli	Contextual	Canine	Context	2018
SB279408528	11	635	Escherichia coli	SB27	Pork	Animal	2019
SRR7656065	28	122	Escherichia coli	Contextual	ND/Other	Context	2018
SB278791464	20	155	Escherichia coli	SB27	Turkey	Animal	2018
SB279408123	12	3580	Escherichia coli	SB27	Turkey	Animal	2019
SB279408280	9	652	Escherichia coli	SB27	Turkey	Animal	2019
SB279406880	21	131	Escherichia coli	SB27	Human	Human	2019
SB278790823	16	73	Escherichia coli	SB27	Human	Human	2018
SB2710442439	15	401	Escherichia coli	SB27	Beef	Animal	2019
SB278344738	29	847	Escherichia coli	SB27	Human	Human	
SB278791778	9	88	Escherichia coli	SB27	Chicken	Animal	2018
SB2710442985	12	3580	Escherichia coli	SB27	Turkey	Animal	2020
SB279407451	16	73	Escherichia coli	SB27	Human	Human	2019
SRR7285519	8	11	Escherichia coli	Contextual	Human	Context	2017
SB278791261	12	3580	Escherichia coli	SB27	Turkey	Animal	2018
SB278790385	26	-	Escherichia coli	SB27	Human	Human	2018
SB278790241	3	12	Escherichia coli	SB27	Human	Human	2018
SB278791304	29	2521	Escherichia coli	SB27	Beef	Animal	2018
SB278344674	14	95	Escherichia coli	SB27	Human	Human	
SB279407902	29	1086	Escherichia coli	SB27	Beef	Animal	2019
SB278790726	3	12	Escherichia coli	SB27	Human	Human	2018
SRR12206232	24	48	Escherichia coli	Contextual	Poultry	Context	2018
SB278344467	19	69	Escherichia coli	SB27	Human	Human	
SB279406948	16	-	Escherichia coli	SB27	Human	Human	2019
SB279407354	19	69	Escherichia coli	SB27	Human	Human	2019
SB279408069	15	401	Escherichia coli	SB27	Chicken	Animal	2019
SB279407297	19	69	Escherichia coli	SB27	Human	Human	2019
SB278791092	20	-	Escherichia coli	SB27	Human	Human	2018
SB278791581	29	1844	Escherichia coli	SB27	Turkey	Animal	2018
SB279406991	21	131	Escherichia coli	SB27	Human	Human	2019
SB2710441865	28	355	Escherichia coli	SB27	Turkey	Animal	2021
SB279406439	28	-	Escherichia coli	SB27	Chicken	Animal	2018
SRR6052864	8	11	Escherichia coli	Contextual	Human	Context	2017
SB2710441858	29	297	Escherichia coli	SB27	Turkey	Animal	2021
SB278344536	17	357	Escherichia coli	SB27	Human	Human	
SB279407055	23	6826	Escherichia coli	SB27	Human	Human	2019
SB279407193	22	457	Escherichia coli	SB27	Human	Human	2019
SB279408695	21	131	Escherichia coli	SB27	Chicken	Animal	2020
SRR6380512	27	540	Escherichia coli	Contextual	Swine	Context	2017
SB2710442229	19	5022	Escherichia coli	SB27	Beef	Animal	2019
SB2710441575	1	349	Escherichia coli	SB27	Beef	Animal	2018
SB2710443013	24	48	Escherichia coli	SB27	Turkey	Animal	2020
SB279407202	10	1193	Escherichia coli	SB27	Human	Human	2019
SB279406748	14	95	Escherichia coli	SB27	Human	Human	2019
SRR8359530	23	-	Escherichia coli	Contextual	Human	Context	2017
SB2710441821	2	127	Escherichia coli	SB27	ND/Other	Context	
SB278790397	14	95	Escherichia coli	SB27	Human	Human	2018
SB279407992	23	10	Escherichia coli	SB27	Turkey	Animal	2019
SB278790470	29	-	Escherichia coli	SB27	Human	Human	2018
SB278791224	11	399	Escherichia coli	SB27	Beef	Animal	2018
SRR14138315	13	38	Escherichia coli	Contextual	Human	Context	2017
SB279406671	24	1695	Escherichia coli	SB27	Chicken	Animal	2018
SRR7635039	29	1423	Escherichia coli	Contextual	Bovine	Context	2018
SRR14138330	16	73	Escherichia coli	Contextual	Canine	Context	2017
SB2710442272	29	-	Escherichia coli	SB27	Beef	Animal	2019
SB279406471	18	117	Escherichia coli	SB27	Chicken	Animal	2018
SB278344599	19	69	Escherichia coli	SB27	Human	Human	
SRR7724606	27	1421	Escherichia coli	Contextual	Avian	Context	2017
SRR6683918	20	58	Escherichia coli	Contextual	Avian	Context	2017
SB279407209	23	10	Escherichia coli	SB27	Human	Human	2019
SB278790277	14	95	Escherichia coli	SB27	Human	Human	2018
SB2710442925	12	162	Escherichia coli	SB27	Turkey	Animal	2020
SB278344984	20	-	Escherichia coli	SB27	Human	Human	
SB278791478	29	533	Escherichia coli	SB27	Turkey	Animal	2018
SB2710441467	29	1423	Escherichia coli	SB27	Beef	Animal	2021
SB2710442166	11	399	Escherichia coli	SB27	Beef	Animal	2019
SB279406887	14	95	Escherichia coli	SB27	Human	Human	2019
SB279408766	14	140	Escherichia coli	SB27	Chicken	Animal	2020
SB278791309	7	101	Escherichia coli	SB27	Chicken	Animal	2018
SRR11473248	18	117	Escherichia coli	Contextual	Poultry	Context	2016
SB2710441564	15	5308	Escherichia coli	SB27	Beef	Animal	2018
SB279406544	27	8608	Escherichia coli	SB27	Beef	Animal	2018
SRR7230355	29	33	Escherichia coli	Contextual	Human	Context	2017
SB2710442364	29	2280	Escherichia coli	SB27	Pork	Animal	2019
SB279408056	29	602	Escherichia coli	SB27	Chicken	Animal	2019
SB278790600	21	131	Escherichia coli	SB27	Human	Human	2018
SB279407159	13	38	Escherichia coli	SB27	Human	Human	2019
SB278344722	5	569	Escherichia coli	SB27	Human	Human	
SB278344717	21	131	Escherichia coli	SB27	Human	Human	
SB279408397	29	2077	Escherichia coli	SB27	Pork	Animal	2019
SB278790624	14	95	Escherichia coli	SB27	Human	Human	2018
SB278790498	2	127	Escherichia coli	SB27	Human	Human	2018
SB2710442981	20	58	Escherichia coli	SB27	Turkey	Animal	2020
SRR6764223	7	101	Escherichia coli	Contextual	Swine	Context	2018
SB2710442606	24	1244	Escherichia coli	SB27	Pork	Animal	2019
SB279408537	18	117	Escherichia coli	SB27	Chicken	Animal	2019
SB279407321	16	73	Escherichia coli	SB27	Human	Human	2019
SB2710441848	7	101	Escherichia coli	SB27	Beef	Animal	2021
SRR14138259	13	38	Escherichia coli	Contextual	Human	Context	2017
SB279406797	3	2604	Escherichia coli	SB27	Human	Human	2019
SB2710442050	27	1434	Escherichia coli	SB27	Beef	Animal	2018
SRR6052998	8	11	Escherichia coli	Contextual	Human	Context	2017
SRR8359535	23	10	Escherichia coli	Contextual	Human	Context	2017
SB2710442201	19	69	Escherichia coli	SB27	Beef	Animal	2019
SB278791368	25	-	Escherichia coli	SB27	Turkey	Animal	2018
SRR12206223	29	366	Escherichia coli	Contextual	Poultry	Context	2018
SRR11094235	26	6321	Escherichia coli	Contextual	Human	Context	2018
SB278344826	14	95	Escherichia coli	SB27	Human	Human	
SRR10426918	23	10	Escherichia coli	Contextual	Rodent	Context	2018
SRR14138261	24	8680	Escherichia coli	Contextual	Canine	Context	2017
SB2710196303	2	127	Escherichia coli	SB27	Human	Human	2020
SB279408709	22	2171	Escherichia coli	SB27	Chicken	Animal	2020
SB2710441875	11	399	Escherichia coli	SB27	Pork	Animal	2021
SRR7274814	8	11	Escherichia coli	Contextual	Human	Context	2017
SB279406692	3	12	Escherichia coli	SB27	Human	Human	2019
SB2710442227	24	1721	Escherichia coli	SB27	Pork	Animal	2019
SB278344761	16	73	Escherichia coli	SB27	Human	Human	
SB279406696	5	420	Escherichia coli	SB27	Human	Human	2019
SB279406714	22	1722	Escherichia coli	SB27	Human	Human	2019
SB278790399	16	73	Escherichia coli	SB27	Human	Human	2017
SB279406422	24	1286	Escherichia coli	SB27	Chicken	Animal	2018
SB278790547	28	636	Escherichia coli	SB27	Human	Human	2018
SRR14138299	27	216	Escherichia coli	Contextual	Human	Context	2017
SB279408725	12	3580	Escherichia coli	SB27	Turkey	Animal	2020
SB278791489	29	5082	Escherichia coli	SB27	Beef	Animal	2018
SB2710441426	21	131	Escherichia coli	SB27	Turkey	Animal	2021
SB278791713	19	69	Escherichia coli	SB27	Human	Human	2017
SB279407004	28	636	Escherichia coli	SB27	Human	Human	2019
SB279408734	11	399	Escherichia coli	SB27	Beef	Animal	2020
SB278791345	29	5378	Escherichia coli	SB27	Pork	Animal	2018
SB279407378	14	95	Escherichia coli	SB27	Human	Human	2019
SRR4787854	8	11	Escherichia coli	Contextual	Human	Context	2016
SB278790365	10	1193	Escherichia coli	SB27	Human	Human	2018
SB278790292	3	12	Escherichia coli	SB27	Human	Human	2018
SB279407422	14	1231	Escherichia coli	SB27	Human	Human	2019
SB278791193	20	-	Escherichia coli	SB27	Turkey	Animal	2018
SB278344829	21	131	Escherichia coli	SB27	Human	Human	
SRR6684039	12	162	Escherichia coli	Contextual	Avian	Context	2017
SRR11094220	26	973	Escherichia coli	Contextual	Human	Context	2018
SB279407875	28	355	Escherichia coli	SB27	Chicken	Animal	2019
SRR7026296	29	156	Escherichia coli	Contextual	Human	Context	2017
SB278344901	1	349	Escherichia coli	SB27	Human	Human	
SB279407211	17	8184	Escherichia coli	SB27	Human	Human	2019
SB279408118	29	278	Escherichia coli	SB27	Beef	Animal	2019
SB278790539	29	224	Escherichia coli	SB27	Human	Human	2018
SB2710443012	2	127	Escherichia coli	SB27	Turkey	Animal	2020
SRR7724644	29	1642	Escherichia coli	Contextual	Avian	Context	2017
SB279407982	15	401	Escherichia coli	SB27	Pork	Animal	2019
SB278344750	23	1585	Escherichia coli	SB27	Human	Human	
SB279408193	24	10	Escherichia coli	SB27	Beef	Animal	2019
SB278790218	21	131	Escherichia coli	SB27	Human	Human	2018
SB278344794	21	131	Escherichia coli	SB27	Human	Human	
SB278791708	20	58	Escherichia coli	SB27	Human	Human	2017
SB2710442959	23	10	Escherichia coli	SB27	Beef	Animal	2020
SB278344522	16	73	Escherichia coli	SB27	Human	Human	
SRR7031335	23	10	Escherichia coli	Contextual	Laboratory	Context	2017
SB279408470	29	1079	Escherichia coli	SB27	Chicken	Animal	2019
SB279408168	20	58	Escherichia coli	SB27	Turkey	Animal	2019
SB279407181	21	131	Escherichia coli	SB27	Human	Human	2019
SRR6314310	24	206	Escherichia coli	Contextual	Swine	Context	2017
SB279408727	20	58	Escherichia coli	SB27	Turkey	Animal	2020
SB279407836	24	226	Escherichia coli	SB27	Turkey	Animal	2019
SB279408345	25	2064	Escherichia coli	SB27	Pork	Animal	2019
SB279408910	3	12	Escherichia coli	SB27	Human	Human	2020
SRR13209824	29	33	Escherichia coli	Contextual	Human	Context	2017
SB278791382	20	616	Escherichia coli	SB27	Turkey	Animal	2018
SB278791437	15	-	Escherichia coli	SB27	Beef	Animal	2018
SB279408821	4	141	Escherichia coli	SB27	Turkey	Animal	2020
SB2710443031	21	131	Escherichia coli	SB27	Turkey	Animal	2020
SB279407308	14	95	Escherichia coli	SB27	Human	Human	2019
SB279407984	16	1618	Escherichia coli	SB27	Turkey	Animal	2019
SB279407756	22	648	Escherichia coli	SB27	Human	Human	2019
SB279407066	29	1196	Escherichia coli	SB27	Human	Human	2019
SB279408582	20	4138	Escherichia coli	SB27	Turkey	Animal	2019
SRR7865863	29	156	Escherichia coli	Contextual	Swine	Context	2018
SB278344656	14	95	Escherichia coli	SB27	Human	Human	
SB279406431	29	1611	Escherichia coli	SB27	Chicken	Animal	2018
SB279406693	21	131	Escherichia coli	SB27	Human	Human	2019
SB278791716	12	3580	Escherichia coli	SB27	Turkey	Animal	2018
SB278790247	10	404	Escherichia coli	SB27	Human	Human	2018
SB279408793	29	86	Escherichia coli	SB27	Beef	Animal	2020
SB279407884	24	206	Escherichia coli	SB27	Turkey	Animal	2019
SB278791324	29	3234	Escherichia coli	SB27	Beef	Animal	2018
SRR11059192	12	162	Escherichia coli	Contextual	Water/River	Context	2018
SB279406823	4	141	Escherichia coli	SB27	Human	Human	2019
SB2710442304	27	607	Escherichia coli	SB27	Pork	Animal	2019
SB278790700	14	95	Escherichia coli	SB27	Human	Human	2018
SRR7724609	22	1485	Escherichia coli	Contextual	Avian	Context	2017
SRR7724567	21	131	Escherichia coli	Contextual	Avian	Context	2017
SB279406895	19	69	Escherichia coli	SB27	Human	Human	2019
SB279406505	18	3258	Escherichia coli	SB27	Chicken	Animal	2018
SB279406501	26	720	Escherichia coli	SB27	Chicken	Animal	2018
SB279408192	29	129	Escherichia coli	SB27	Beef	Animal	2019
SB278344746	2	127	Escherichia coli	SB27	Human	Human	
SB279408927	10	14	Escherichia coli	SB27	Human	Human	2020
SB279406556	29	212	Escherichia coli	SB27	Turkey	Animal	2018
SB2710442470	29	-	Escherichia coli	SB27	Beef	Animal	2019
SRR12206193	23	10	Escherichia coli	Contextual	Human	Context	2018
SB278791246	24	542	Escherichia coli	SB27	Turkey	Animal	2018
SB279408089	12	3580	Escherichia coli	SB27	Turkey	Animal	2019
SB279408919	21	131	Escherichia coli	SB27	Human	Human	2020
SB278790257	13	38	Escherichia coli	SB27	Human	Human	2018
SB278344957	14	95	Escherichia coli	SB27	Human	Human	
SRR9651973	12	2385	Escherichia coli	Contextual	Plant	Context	2016
SB279408764	29	3602	Escherichia coli	SB27	Beef	Animal	2020
SB279407949	29	602	Escherichia coli	SB27	Turkey	Animal	2019
SB279408757	20	155	Escherichia coli	SB27	Turkey	Animal	2020
SB278344972	19	69	Escherichia coli	SB27	Human	Human	
SB2710442024	23	10	Escherichia coli	SB27	Beef	Animal	2018
SB2710441453	26	6027	Escherichia coli	SB27	Turkey	Animal	2021
SB279407173	14	95	Escherichia coli	SB27	Human	Human	2019
SRR7064595	20	58	Escherichia coli	Contextual	Bovine	Context	2017
SB2710442408	11	399	Escherichia coli	SB27	Beef	Animal	2019
SB278790763	22	648	Escherichia coli	SB27	Human	Human	2018
SRR11473210	18	4045	Escherichia coli	Contextual	Poultry	Context	2016
SB278790532	21	131	Escherichia coli	SB27	Human	Human	2018
SB279408090	29	86	Escherichia coli	SB27	Turkey	Animal	2019
SRR14138266	23	10	Escherichia coli	Contextual	Human	Context	2017
SRR10310379	16	73	Escherichia coli	Contextual	Human	Context	2016
SRR7283821	8	11	Escherichia coli	Contextual	Human	Context	2017
SB2710442317	7	101	Escherichia coli	SB27	Pork	Animal	2019
SRR7724575	29	8466	Escherichia coli	Contextual	Avian	Context	2017
SRR14138322	29	196	Escherichia coli	Contextual	Canine	Context	2017
SB279407914	12	162	Escherichia coli	SB27	Turkey	Animal	2019
SB278791492	6	-	Escherichia coli	SB27	Beef	Animal	2018
SRR7031319	23	10	Escherichia coli	Contextual	Laboratory	Context	2017
SB2710442662	27	1429	Escherichia coli	SB27	Pork	Animal	2019
SB278790471	19	69	Escherichia coli	SB27	Human	Human	2018
SB279408587	23	10	Escherichia coli	SB27	Chicken	Animal	2019
SRR12206273	23	10	Escherichia coli	Contextual	Human	Context	2018
SRR7265970	22	59	Escherichia coli	Contextual	Human	Context	2017
SB278344715	28	144	Escherichia coli	SB27	Human	Human	
SB279407352	13	1177	Escherichia coli	SB27	Human	Human	2019
SB278791789	29	2175	Escherichia coli	SB27	Chicken	Animal	2018
SB279407834	18	117	Escherichia coli	SB27	Pork	Animal	2019
SRR13209809	29	33	Escherichia coli	Contextual	Human	Context	2018
SB278791827	25	57	Escherichia coli	SB27	Chicken	Animal	2018
SB279407940	26	501	Escherichia coli	SB27	Chicken	Animal	2019
SB279407318	2	127	Escherichia coli	SB27	Human	Human	2019
SB278791253	11	399	Escherichia coli	SB27	Beef	Animal	2018
SB2710442274	23	10	Escherichia coli	SB27	Pork	Animal	2019
SB279408198	12	3580	Escherichia coli	SB27	Turkey	Animal	2019
SRR11354622	10	1193	Escherichia coli	Contextual	Human	Context	2018
SB279406950	19	69	Escherichia coli	SB27	Human	Human	2019
SB279408122	28	706	Escherichia coli	SB27	Turkey	Animal	2019
SB278791278	29	1125	Escherichia coli	SB27	Turkey	Animal	2018
SB279408585	11	399	Escherichia coli	SB27	Beef	Animal	2019
SB279406687	16	73	Escherichia coli	SB27	Human	Human	2018
SRR14138363	22	648	Escherichia coli	Contextual	Canine	Context	2017
SRR9651970	8	11	Escherichia coli	Contextual	Plant	Context	2016
SB278344598	24	3478	Escherichia coli	SB27	Human	Human	
SB279406666	29	297	Escherichia coli	SB27	Turkey	Animal	2018
SRR7724586	12	2179	Escherichia coli	Contextual	Avian	Context	2017
SB279407094	2	127	Escherichia coli	SB27	Human	Human	2019
SB2710442042	29	109	Escherichia coli	SB27	Beef	Animal	2018
SB279407359	28	144	Escherichia coli	SB27	Human	Human	2019
SB279408526	28	978	Escherichia coli	SB27	Turkey	Animal	2019
SB279407121	10	1193	Escherichia coli	SB27	Human	Human	2019
SB279407408	14	95	Escherichia coli	SB27	Human	Human	2019
SB279407410	5	420	Escherichia coli	SB27	Human	Human	2019
SB279406665	20	58	Escherichia coli	SB27	Turkey	Animal	2018
SB279408396	26	720	Escherichia coli	SB27	Pork	Animal	2019
SRR6651753	8	11	Escherichia coli	Contextual	ND/Other	Context	2017
SRR7456566	8	11	Escherichia coli	Contextual	Human	Context	2018
SRR14138364	29	940	Escherichia coli	Contextual	Human	Context	2017
SB279406738	7	101	Escherichia coli	SB27	Human	Human	2019
SB278791796	7	101	Escherichia coli	SB27	Chicken	Animal	2018
SB278791234	12	3580	Escherichia coli	SB27	Turkey	Animal	2018
SRR11939512	24	48	Escherichia coli	Contextual	Food	Context	2016
SRR5860180	27	46	Escherichia coli	Contextual	Swine	Context	2017
SB278791790	15	5308	Escherichia coli	SB27	Chicken	Animal	2018
SRR14138284	29	8681	Escherichia coli	Contextual	Human	Context	2017
SRR12206189	26	2076	Escherichia coli	Contextual	Human	Context	2018
SB2710442247	11	4774	Escherichia coli	SB27	Pork	Animal	2019
SB278791527	20	4162	Escherichia coli	SB27	Turkey	Animal	2018
SB278790911	28	144	Escherichia coli	SB27	Human	Human	2018
SB279407331	9	88	Escherichia coli	SB27	Human	Human	2019
SB2710196340	10	404	Escherichia coli	SB27	Human	Human	2020
SRR9924633	13	38	Escherichia coli	Contextual	Human	Context	2017
SB278790618	28	144	Escherichia coli	SB27	Human	Human	2018
SB278791329	22	457	Escherichia coli	SB27	Chicken	Animal	2018
SB279406984	3	12	Escherichia coli	SB27	Human	Human	2019
SB279407819	2	127	Escherichia coli	SB27	Human	Human	2020
SB2710442405	23	6617	Escherichia coli	SB27	Pork	Animal	2019
SB279407292	14	95	Escherichia coli	SB27	Human	Human	2019
SB278791108	10	1193	Escherichia coli	SB27	Human	Human	2018
SB279406441	13	38	Escherichia coli	SB27	Chicken	Animal	2018
SB278791413	29	1079	Escherichia coli	SB27	Pork	Animal	2018
SB279408827	29	2280	Escherichia coli	SB27	Beef	Animal	2019
SB279408285	19	69	Escherichia coli	SB27	Turkey	Animal	2019
SB279408177	18	5796	Escherichia coli	SB27	Chicken	Animal	2019
SB2710442145	23	744	Escherichia coli	SB27	Pork	Animal	2018
SB278790902	29	4173	Escherichia coli	SB27	Human	Human	2018
SB279407957	29	1167	Escherichia coli	SB27	Turkey	Animal	2019
SRR7724573	29	533	Escherichia coli	Contextual	Avian	Context	2017
SRR10426929	23	10	Escherichia coli	Contextual	Rodent	Context	2018
SB278791208	17	2556	Escherichia coli	SB27	Turkey	Animal	2018
SB278791207	24	48	Escherichia coli	SB27	Turkey	Animal	2018
SB278790550	3	12	Escherichia coli	SB27	Human	Human	2018
SB279407103	19	69	Escherichia coli	SB27	Human	Human	2019
SB279406957	20	58	Escherichia coli	SB27	Human	Human	2019
SB278344633	14	95	Escherichia coli	SB27	Human	Human	
SRR10253929	21	-	Escherichia coli	Contextual	ND/Other	Context	2018
SB278344979	19	69	Escherichia coli	SB27	Human	Human	
SB278790239	10	1193	Escherichia coli	SB27	Human	Human	2018
SB279407434	16	73	Escherichia coli	SB27	Human	Human	2019
SB278790721	3	12	Escherichia coli	SB27	Human	Human	2018
SRR11047685	24	1491	Escherichia coli	Contextual	Human	Context	2017
